run_number,framework,scenario,timestamp,metric_name,value,unit
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,total_cycle_js_time,1694.5,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,avg_page_transition,333,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,min_page_transition,315,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,max_page_transition,368,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,avg_api_response_time,19.75,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,total_api_requests,4,count
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,total_network_bytes,277755,bytes
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,memory_delta,0,bytes
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_1_next,289,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_1_next_js,313.69999999995343,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_2_next,283,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_2_next_js,299.20000000001164,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_3_previous,305,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_3_previous_js,322.5999999999767,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_4_previous,329,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,page_transition_4_previous_js,350.70000000001164,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,total_cycle_time,1559,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,total_cycle_js_time,1579.2999999999884,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,avg_page_transition,301.5,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,min_page_transition,283,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,max_page_transition,329,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,avg_api_response_time,0,ms
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,total_api_requests,4,count
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,total_network_bytes,277755,bytes
4,Angular,pagination-cycle,2025-12-14T00:28:20.665Z,memory_delta,0,bytes
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_1_next,358,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_1_next_js,379.4000000000233,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_2_next,279,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_2_next_js,297.4000000000233,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_3_previous,285,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_3_previous_js,302.1000000000349,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_4_previous,314,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,page_transition_4_previous_js,332.79999999998836,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,total_cycle_time,1586,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,total_cycle_js_time,1590.899999999965,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,avg_page_transition,309,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,min_page_transition,279,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,max_page_transition,358,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,avg_api_response_time,17.75,ms
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,total_api_requests,4,count
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,total_network_bytes,277755,bytes
5,Angular,pagination-cycle,2025-12-14T00:28:24.797Z,memory_delta,0,bytes
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,initial_detail_load,669,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,next_navigation_time,24,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,next_navigation_js,27.29999999998836,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,prev_navigation_time,15,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,prev_navigation_js,18,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,total_cycle_time,353,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,total_cycle_js_time,354.1000000000349,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,avg_navigation_time,19.5,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,avg_api_response_time,2.25,ms
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,total_api_requests,5,count
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,total_network_bytes,19742,bytes
1,Angular,detail-navigation-cycle,2025-12-14T00:28:27.715Z,memory_delta,0,bytes
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,initial_detail_load,674,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,next_navigation_time,23,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,next_navigation_js,26.29999999998836,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,prev_navigation_time,10,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,prev_navigation_js,13.5,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,total_cycle_time,348,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,total_cycle_js_time,349.0999999999767,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,avg_navigation_time,16.5,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,avg_api_response_time,1.25,ms
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,total_api_requests,5,count
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,total_network_bytes,19742,bytes
2,Angular,detail-navigation-cycle,2025-12-14T00:28:30.359Z,memory_delta,0,bytes
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,initial_detail_load,671,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,next_navigation_time,27,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,next_navigation_js,31,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,prev_navigation_time,25,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,prev_navigation_js,26.29999999998836,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,total_cycle_time,364,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,total_cycle_js_time,366,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,avg_navigation_time,26,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,avg_api_response_time,1.25,ms
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,total_api_requests,5,count
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,total_network_bytes,19742,bytes
3,Angular,detail-navigation-cycle,2025-12-14T00:28:33.024Z,memory_delta,0,bytes
4,Angular,detail-navigation-cycle,2025-12-14T00:28:35.663Z,initial_detail_load,677,ms
