framework,scenario,metric_name,median,mean,min,max,std_dev,total_runs,discarded_runs
Lit,initial-page-load,total_bytes,265418,265418,265418,265418,0,5,
Lit,initial-page-load,network_duration,504,502.8,490,512,7.222188034107115,5,
Lit,initial-page-load,largest_request,90546,90546,90546,90546,0,5,
Lit,initial-page-load,avg_api_response_time,29,32.6,26,41,6.151422599691879,5,
Lit,initial-page-load,total_navigation_time,1006,1005.2,991,1016,8.182909018191515,5,
Lit,filter-application,filter_duration,131.40000000002328,136.40000000002328,121.30000000004657,164.80000000004657,15.36111975086599,5,
Lit,filter-application,total_filter_time,129,133.6,121,164,15.551205741035002,5,
Lit,filter-application,memory_delta,0,0,0,0,0,5,
Lit,filter-application,filtered_row_count,11,11,11,11,0,5,
Lit,filter-application,js_execution_time,131.40000000002328,136.40000000002328,121.30000000004657,164.80000000004657,15.36111975086599,5,
Lit,clear-filters,clear_duration,459.9000000000233,439.9,372.70000000006985,465.0999999999767,34.91549799154599,5,
Lit,clear-filters,total_clear_time,424,413.2,350,440,32.73163607276606,5,
Lit,clear-filters,memory_delta,0,0,0,0,0,5,
Lit,clear-filters,restored_row_count,50,50,50,50,0,5,
Lit,expand-collapse-description,expand_duration,106.90000000002328,107.1,106.19999999995343,108.30000000004657,0.7127411872815387,5,
Lit,expand-collapse-description,expand_total_time,105,105.6,105,107,0.8,5,
Lit,expand-collapse-description,expand_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Lit,expand-collapse-description,collapse_duration,107.5,107.4399999999674,106.29999999993015,109,1.0461357464772703,5,
Lit,expand-collapse-description,collapse_total_time,106,106,105,107,0.8944271909999159,5,
Lit,expand-collapse-description,collapse_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Lit,navigate-to-detail,total_navigation_time,170,172.2,164,187,7.782030583337487,5,
Lit,navigate-to-detail,detail_lcp,88,86.4,84,88,1.9595917942265424,5,
Lit,navigate-to-detail,detail_cls,0,0,0,0,0,5,
Lit,navigate-to-detail,memory_delta,0,0,0,0,0,5,
Lit,navigate-to-detail,detail_request_count,5,5,5,5,0,5,
Lit,navigate-to-detail,detail_total_bytes,25714,25714,25714,25714,0,5,
Lit,navigate-back-to-list,total_back_navigation_time,339,346,335,373,14,5,
Lit,navigate-back-to-list,rendered_row_count,50,50,50,50,0,5,
Lit,navigate-back-to-list,memory_delta,0,0,0,0,0,5,
Lit,pagination-cycle,page_transition_1_next,346,337,309,350,14.99333185119305,5,
